year	doy	hour	Tair	Tsoil	RH	VPD	Rain	WS	PAR	CO2
2022	1	1	12.1	12.5	84	225.8942612	0	1.4	0	417.9
2022	1	2	11.4	12.3	86	188.723916	0	0	0	417.9
2022	1	3	10.9	12	88	156.4816503	0	0	0	417.9
2022	1	4	10.4	11.9	92	100.9014074	0	0.1	0	417.9
2022	1	5	10.8	12.2	90	129.5364086	0	0	0	417.9
2022	1	6	11.1	11.7	88	158.5758599	0	0.6	0.9	417.9
2022	1	7	11.7	12.6	86	192.5081797	0	0.4	14.1	417.9
2022	1	8	11.9	13.4	91	125.400796	0	0.3	72.7	417.9
2022	1	9	13.7	14.9	80	313.5494738	0	0.1	161.3	417.9
2022	1	10	15	16.4	75	426.336558	0	0.1	193.3	417.9
2022	1	11	15.6	17	75	443.0868679	0	0.3	260.5	417.9
2022	1	12	17	20.4	72	542.5642185	0	1	459.1	417.9
2022	1	13	17.7	22.3	71	587.3591037	0	1.4	825.2	417.9
2022	1	14	20.7	28.3	61	952.2021099	0	0.5	720.2	417.9
2022	1	15	21.4	28.1	60	1019.508239	0	0.2	509.3	417.9
2022	1	16	21	24.4	54	1144.022483	0	0.7	254.4	417.9
2022	1	17	19.7	19.7	56	1009.891683	0	0.7	51.6	417.9
2022	1	18	17.4	17	69	616.0931286	0	0.1	0	417.9
2022	1	19	15.9	15.8	80	361.3410258	0	0.2	0.6	417.9
2022	1	20	15.4	16.2	81	332.4547433	0	0	0	417.9
2022	1	21	13.1	13.8	77	346.7472053	0	1	0	417.9
2022	1	22	13	13.5	75	374.4427257	0	0	1	417.9
2022	1	23	12.8	13.1	83	251.3089813	0	0.1	0.2	417.9
2022	1	24	11.9	12.8	81	264.7350138	0	0	0	417.9
2022	2	1	16.1	15.4	74	475.7826436	0	0.6	0.1	417.9
2022	2	2	15.3	14.8	76	417.2553349	0	0.3	0.2	417.9
2022	2	3	14.7	14.2	78	367.9910096	0	0.9	0.3	417.9
2022	2	4	14.7	13.6	77	384.7178737	0	1.8	0	417.9
2022	2	5	13.9	13.1	79	333.5346724	0	0.8	0	417.9
2022	2	6	13.7	12.8	79	329.2269475	0	1.2	0	417.9
2022	2	7	13.4	12.5	79	322.8568966	0	2.5	20.4	417.9
2022	2	8	13.4	12.9	78	338.2310345	0	0.8	96.5	417.9
2022	2	9	14.5	13.7	74	429.3169804	0	1.3	422.7	417.9
2022	2	10	15.7	14.8	66	606.4701826	0	2.2	719.4	417.9
2022	2	11	17.1	17	62	741.01644	0	1.8	915.7	417.9
2022	2	12	18.8	28.4	60	868.0499366	0	1.5	1017.7	417.9
2022	2	13	20.5	30.1	53	1133.471402	0	1.9	942.1	417.9
2022	2	14	21.3	30.7	52	1215.938391	0	1.6	814	417.9
2022	2	15	21.5	29.2	53	1205.277269	0	1.2	576.1	417.9
2022	2	16	21.4	25.5	51	1248.897593	0	0.7	271.2	417.9
2022	2	17	20.2	20.6	57	1017.97671	0	1.1	54.3	417.9
2022	2	18	17.8	17.9	65	713.3617173	0	0	0.1	417.9
2022	2	19	16.7	16.5	73	513.3227334	0	0	0	417.9
2022	2	20	15.2	15.7	82	310.9371952	0	0.1	0	417.9
2022	2	21	15.2	16.1	83	293.6629066	0	0	0	417.9
2022	2	22	15.3	15.9	84	278.1702233	0	0	0	417.9
2022	2	23	15.1	15.7	85	257.4534612	0	0.9	0	417.9
2022	2	24	15.7	15.4	77	410.2592412	0	1	0	417.9
2022	3	1	13.6	13.8	87	202.4851843	0	0	0	417.9
2022	3	2	12.6	13.4	92	116.7222559	0	0	0	417.9
2022	3	3	12.5	13.1	93	101.4636787	0	0	0	417.9
2022	3	4	11.9	12.8	95	69.66710889	0	0	0.3	417.9
2022	3	5	12.1	12.6	95	70.59195662	0	0.2	0	417.9
2022	3	6	11.9	12.4	95	69.66710889	0	0.6	0	417.9
2022	3	7	11.9	12.2	97	41.80026534	0	0	19.1	417.9
2022	3	8	12	12.8	97	42.07691619	0	0	123.7	417.9
2022	3	9	14.2	15	87	210.5312782	0	0	329.2	417.9
2022	3	10	16.5	16.4	78	412.9786835	0	0.4	580.9	417.9
2022	3	11	18.8	19.3	76	520.829962	0	0.1	803.9	417.9
2022	3	12	20.5	27.5	68	771.7252097	0	0.8	748.2	417.9
2022	3	13	21.4	28	62	968.5328274	0	0.7	806.3	417.9
2022	3	14	23	29.7	62	1067.586297	0	0.2	570	417.9
2022	3	15	22.7	28.3	58	1158.721883	0	0.4	454.3	417.9
2022	3	16	22.8	25.4	57	1193.52143	0	0.2	208.2	417.9
2022	3	17	21.3	21.5	64	911.9537932	0	0	50.2	417.9
2022	3	18	19.6	18.5	69	707.1117896	0	0.3	0	417.9
2022	3	19	17.9	17.2	80	410.2094438	0	0	0	417.9
2022	3	20	16.3	16.1	82.5	324.3489636	0	0	0	417.9
2022	3	21	14.7	15	85	250.9029611	0	0.5	0	417.9
2022	3	22	14	14.7	89	175.8465345	0	0	0	417.9
2022	3	23	13.1	14.3	93	105.5317581	0	0.5	0	417.9
2022	3	24	15	14.1	79	358.1227087	0	0.3	0	417.9
2022	4	1	13.4	13.5	99	15.37413793	0	0	0	417.9
2022	4	2	13.4	13.5	99	15.37413793	0	0	0	417.9
2022	4	3	13.4	13.5	99	15.37413793	0	0	0	417.9
2022	4	4	13.2	13.5	99	15.17478723	0	0	0.4	417.9
2022	4	5	12.6	13.2	99	14.59028199	0	0.2	0	417.9
2022	4	6	13.3	13.2	100	0	0	0	0	417.9
2022	4	7	13.2	13.1	100	0	0	0	19.6	417.9
2022	4	8	12.9	13.3	100	0	0	0	114.2	417.9
2022	4	9	14.1	15.7	100	0	0	0	299.3	417.9
2022	4	10	16.6	17.2	94	113.3491277	0	0.1	652	417.9
2022	4	11	19.5	20.4	78	498.7136222	0	0.6	545.9	417.9
2022	4	12	22.5	29.4	65	953.9556623	0	0.4	869	417.9
2022	4	13	22.4	30	60	1083.632962	0	1.7	683.8	417.9
2022	4	14	22.8	26.1	60	1110.252493	0	0.2	450.4	417.9
2022	4	15	22.6	24.7	64	987.1849977	0	0.1	311.5	417.9
2022	4	16	22.7	24.1	58	1158.721883	0	0.1	245.5	417.9
2022	4	17	22.4	21.5	61	1056.542138	0	0	37.1	417.9
2022	4	18	19.8	18.7	72	646.6567099	0	0.1	0	417.9
2022	4	19	18.9	17.5	77	502.2560235	0	0.3	0	417.9
2022	4	20	17.7	16.9	81	384.8214818	0	0.5	0	417.9
2022	4	21	17.7	16.9	81	384.8214818	0	0	0	417.9
2022	4	22	17.7	16.9	81	384.8214818	0	0	0	417.9
2022	4	23	17.7	16.9	81	384.8214818	0	0	0	417.9
2022	4	24	17.7	16.9	81	384.8214818	0	0	0	417.9
2022	5	1	16.1	15.2	87	237.8913218	0	0	0.3	417.9
2022	5	2	15.2	14.7	92	138.194309	0	0	0	417.9
2022	5	3	15.3	14.7	94	104.3138337	0	0	0.2	417.9
2022	5	4	15.6	15.7	93	124.064323	0	0.4	0	417.9
2022	5	5	15.7	15.9	93	124.8615082	0	0	0.7	417.9
2022	5	6	15.6	15.9	94	106.3408483	0	0.9	0	417.9
2022	5	7	16	16	93	127.2800676	0	0.6	15.6	417.9
2022	5	8	16.3	16.6	93	129.7395854	0	0.5	124.5	417.9
2022	5	9	17.9	18.4	87	266.6361385	0	0.4	266.4	417.9
2022	5	10	19.7	21.4	76	550.8500091	0	0.2	457.5	417.9
2022	5	11	21.7	25.4	73	700.9118984	0	0.3	969	417.9
2022	5	12	23.8	33.1	62	1120.348036	0	1	1127.5	417.9
2022	5	13	24.8	33.6	59	1283.39644	0	0.6	360.1	417.9
2022	5	14	23.7	28	62	1113.630802	0	0.6	708	417.9
2022	5	15	25	31.6	57	1362.144419	0	0.9	554.9	417.9
2022	5	16	24.8	29.2	59	1283.39644	0	0.8	290.3	417.9
2022	5	17	23.3	23.3	63	1058.503818	0	0.6	60.6	417.9
2022	5	18	21.1	20.3	71	725.6735991	0	0.2	0	417.9
2022	5	19	19.5	18.7	79	476.0448212	0	0	0	417.9
2022	5	20	18.4	17.9	87	275.1417248	0	0.2	0	417.9
2022	5	21	17.1	16.1	81	370.50822	0	0.1	0	417.9
2022	5	22	16	15.7	87	236.3772685	0	0.1	0	417.9
2022	5	23	16	15.3	88	218.1944017	0	0	0	417.9
2022	5	24	16.1	15.1	87	237.8913218	0	0.6	0	417.9
2022	6	1	15.7	15.5	97	53.51207494	0	0	0	417.9
2022	6	2	15.1	15.2	97	51.49069223	0	0	0.4	417.9
2022	6	3	15	15	98	34.10692464	0	0.7	0	417.9
2022	6	4	15.8	15.9	95	89.75941408	0	0.3	1.2	417.9
2022	6	5	15.9	15.9	95	90.33525645	0	1	0.6	417.9
2022	6	6	16.1	15.7	94	109.7959947	0	1.4	0.4	417.9
2022	6	7	16.6	15.8	89	207.806734	0	1.4	21.9	417.9
2022	6	8	17	16.5	84	310.0366963	0	1.3	133.8	417.9
2022	6	9	17.6	18	81	382.4028431	0	1.4	254.6	417.9
2022	6	10	18.7	20.5	76	517.5844752	0	2.2	688	417.9
2022	6	11	19.7	22.6	71	665.6104276	0	2.3	897.8	417.9
2022	6	12	21.7	31	64	934.5491979	0	2.1	1041.8	417.9
2022	6	13	22.8	31.8	59	1138.008806	0	1.4	912.8	417.9
2022	6	14	22.8	28.5	60	1110.252493	0	2.1	693.8	417.9
2022	6	15	23.4	29.8	56	1266.377325	0	1.1	532.9	417.9
2022	6	16	23.3	26.4	58	1201.544874	0	1.2	260.8	417.9
2022	6	17	22.2	22.4	61	1043.770127	0	0.4	59.6	417.9
2022	6	18	20.1	19.6	68	752.8944413	0	0.1	0	417.9
2022	6	19	18.7	18.3	74	560.7165148	0	0	0	417.9
2022	6	20	17.8	17.5	77	468.7805571	0	0	0.2	417.9
2022	6	21	17.4	17.3	91	178.865747	0	1	0	417.9
2022	6	22	17.1	16.8	91	175.5038937	0	0	0.2	417.9
2022	6	23	15.9	16.2	96	72.26820516	0	0	0.4	417.9
2022	6	24	15.9	15.8	95	90.33525645	0	0.1	0	417.9
2022	7	1	15.1	15.5	95	85.81782039	0	0.7	0	417.9
2022	7	2	15.6	16.2	90	177.2347472	0	1	0.1	417.9
2022	7	3	16.1	16.3	83	311.0886516	0	1.2	0.1	417.9
2022	7	4	16.1	16	79	384.2859813	0	1.8	0.8	417.9
2022	7	5	16.1	15.5	75	457.4833111	0	2.2	0	417.9
2022	7	6	15.1	14.6	80	343.2712815	0	1.2	0	417.9
2022	7	7	14.4	14.1	83	278.8979947	0	0.8	19.8	417.9
2022	7	8	14.2	14.3	85	242.9207056	0	1.2	127.1	417.9
2022	7	9	15.6	15.5	78	389.9164438	0	0.6	370.5	417.9
2022	7	10	17.2	17.1	69	608.3519538	0	1.4	570.7	417.9
2022	7	11	18.3	20.4	63	778.2006814	0	2.5	875.1	417.9
2022	7	12	19.7	29.2	60	918.0833484	0	1.1	994	417.9
2022	7	13	20.6	29.6	56	1067.683017	0	2.1	909.2	417.9
2022	7	14	21.4	29.7	54	1172.434475	0	1.3	761.3	417.9
2022	7	15	21.5	28.5	55	1153.988874	0	0.9	292.7	417.9
2022	7	16	20.9	24.5	58	1038.143419	0	2.2	269.3	417.9
2022	7	17	19.7	21	61	895.1312647	0	0.8	63.9	417.9
2022	7	18	17.9	17.9	67	676.8455823	0	1.6	0	417.9
2022	7	19	16.3	16.6	76	444.8214358	0	0.9	0.4	417.9
2022	7	20	15.7	15.8	77	410.2592412	0	1.3	0	417.9
2022	7	21	17.1	16.9	82	351.0077874	0	0	0.7	417.9
2022	7	22	16.8	17.3	85	286.9958542	0	0.1	0.9	417.9
2022	7	23	16	16.5	88	218.1944017	0	0.3	0.7	417.9
2022	7	24	15.3	15.9	94	104.3138337	0	1.1	0	417.9
2022	8	1	13.3	13.5	83	259.6610112	0	1.1	0	417.9
2022	8	2	13	13.1	83	254.6210535	0	1.5	0.4	417.9
2022	8	3	13.1	13.2	82	271.3673781	0	1.8	0.1	417.9
2022	8	4	13	12.9	79	314.5318896	0	1.5	0.3	417.9
2022	8	5	12.2	12.7	83	241.5985976	0	0.9	0	417.9
2022	8	6	11.1	12.2	90	132.1465499	0	0.3	0	417.9
2022	8	7	11.1	12.2	90	132.1465499	0	1.1	14.7	417.9
2022	8	8	12.6	13.5	82	262.6250758	0	1.3	133.6	417.9
2022	8	9	14.1	15.5	78	353.9818566	0	0.8	358.2	417.9
2022	8	10	14.8	15.7	74	437.7129973	0	1.9	710.6	417.9
2022	8	11	16.4	18.2	67	615.5378172	0	1	941.7	417.9
2022	8	12	18.9	28.6	57	939.0003918	0	1.1	967.4	417.9
2022	8	13	19.7	29.2	56	1009.891683	0	0.6	1017.9	417.9
2022	8	14	19.8	30	55	1039.269712	0	0.6	870	417.9
2022	8	15	20.9	28.4	54	1137.014221	0	1.1	579.2	417.9
2022	8	16	20.3	25.1	54	1095.747295	0	0.8	288.7	417.9
2022	8	17	19.1	20.6	59	906.5672499	0	0.6	68.1	417.9
2022	8	18	16.7	17.7	69	589.3705458	0	0.1	0	417.9
2022	8	19	15.8	16.2	72	502.6527189	0	0.1	0	417.9
2022	8	20	14.6	15.5	81	315.7652524	0	0.9	0	417.9
2022	8	21	15.5	15.2	77	405.0352666	0	2	0.2	417.9
2022	8	22	15.2	14.7	77	397.3086384	0	2.2	0	417.9
2022	8	23	14.5	14.3	80	330.2438311	0	1.8	0	417.9
2022	8	24	14	13.9	80	319.7209719	0	1.2	0	417.9
2022	9	1	13.1	14.1	90	150.7596545	0	0.2	0	417.9
2022	9	2	12.9	14.4	94	89.28009126	0	0.2	0	417.9
2022	9	3	13.7	14.6	89	172.4522106	0	0.2	0	417.9
2022	9	4	13.5	14.6	91	139.2720519	0	0.1	0	417.9
2022	9	5	13.6	14.7	92	124.6062673	0	0.5	0	417.9
2022	9	6	13.4	14.6	94	92.2448276	0	0	0.3	417.9
2022	9	7	13.5	14.7	91	139.2720519	0	0	4.7	417.9
2022	9	8	14	15	90	159.8604859	0	0.2	79.2	417.9
2022	9	9	15.1	15.8	86	240.2898971	0	1	176.9	417.9
2022	9	10	15.8	17.7	80	359.0376563	0	1.3	417.3	417.9
2022	9	11	16.6	20.2	75	472.2880319	0	1.4	761.7	417.9
2022	9	12	17.8	22.9	71	591.0711372	0	1.5	569.7	417.9
2022	9	13	18.4	23.8	70	634.9424419	0	1.3	588.6	417.9
2022	9	14	18.2	23.2	70	627.0263403	0	1.4	567.9	417.9
2022	9	15	17.5	22	72	559.996353	0	1.3	281.5	417.9
2022	9	16	17.2	21	73	529.8549275	0	1.1	253.8	417.9
2022	9	17	16.6	19	75	472.2880319	0	1	74	417.9
2022	9	18	15.6	16.4	77	407.6399185	0	1.1	0	417.9
2022	9	19	15.4	16.2	79	367.4499794	0	1	0	417.9
2022	9	20	15.3	16	78	382.484057	0	1.2	0	417.9
2022	9	21	14.2	15	84	259.1154193	0	0.7	0.2	417.9
2022	9	22	13.6	15	88	186.9094009	0	0.2	0.4	417.9
2022	9	23	13.3	14.3	91	137.4675942	0	0.4	0	417.9
2022	9	24	13.6	14.2	86	218.0609677	0	0	0	417.9
2022	10	1	14.1	14.7	82	289.6215191	0	1.7	0.3	417.9
2022	10	2	14	14.8	82	287.7488747	0	0.7	0.1	417.9
2022	10	3	13.8	14.7	83	268.2556836	0	0.4	0.2	417.9
2022	10	4	13.4	14.3	85	230.612069	0	0.5	0.1	417.9
2022	10	5	13.4	14.2	86	215.2379311	0	1.4	0	417.9
2022	10	6	12.9	14.3	93	104.1601065	0	0.5	0.2	417.9
2022	10	7	13.1	14.5	92	120.6077236	0	0.1	7.5	417.9
2022	10	8	13.6	14.8	90	155.7578341	0	0.8	67.1	417.9
2022	10	9	14.2	15.6	85	242.9207056	0	1.1	243.9	417.9
2022	10	10	14.6	16.6	84	265.9075809	0	0.7	127.8	417.9
2022	10	11	15.4	18.2	82	314.9571252	0	0.3	156.8	417.9
2022	10	12	15.5	17.7	78	387.4250376	0	0.7	306.7	417.9
2022	10	13	16.7	20.7	76	456.2868741	0	1.1	447.5	417.9
2022	10	14	16.9	21.9	74	500.6257366	0	0.9	418.6	417.9
2022	10	15	17.3	21.3	74	513.4679831	0	0.4	536.1	417.9
2022	10	16	17.4	20.8	73	536.597241	0	0.3	180.2	417.9
2022	10	17	16.7	18.4	76	456.2868741	0	0.4	41.7	417.9
2022	10	18	15.7	17.1	80	356.7471662	0	0.2	0.2	417.9
2022	10	19	15.3	16.5	81	330.3271401	0	0.6	0.1	417.9
2022	10	20	15.1	16	82	308.9441534	0	0.7	0	417.9
2022	10	21	15.1	15.7	78	377.5984097	0	0.9	0	417.9
2022	10	22	14.7	15.6	81	317.8104174	0	0.8	0	417.9
2022	10	23	14.2	14.9	81	307.6995604	0	0.5	0	417.9
2022	10	24	14.2	14.9	83	275.310133	0	1.3	0	417.9
2022	11	1	12.3	13.9	98	28.61102809	0.4	2	0	417.9
2022	11	2	11.8	13.4	95	69.20868916	0.2	3.3	0.8	417.9
2022	11	3	11.4	13.3	96	53.92111885	0	1.9	0.7	417.9
2022	11	4	11	12.7	94	78.76284835	0	2.5	0	417.9
2022	11	5	11	11.8	88	157.5256967	0	3.8	0.1	417.9
2022	11	6	10.9	12.4	88	156.4816503	0	2	0	417.9
2022	11	7	11	12.3	85	196.9071209	0	1.9	4.1	417.9
2022	11	8	11.2	12.3	85	199.5402131	0	3.1	168.7	417.9
2022	11	9	11.8	13.9	80	276.8347566	0	1.7	365.9	417.9
2022	11	10	12.3	14.1	75	357.6378511	0	2.9	887.4	417.9
2022	11	11	13.4	18.9	69	476.5982759	0	3.4	409.9	417.9
2022	11	12	14.1	24.2	60	643.6033757	0	3.7	1093.6	417.9
2022	11	13	15.7	28.2	54	820.5184824	0	2.6	1123.3	417.9
2022	11	14	16.1	28.4	55	823.46996	0	2.4	960	417.9
2022	11	15	16.2	24.9	54	847.15676	0	2.8	687.1	417.9
2022	11	16	15.5	21.6	56	774.8500752	0	2.6	353.7	417.9
2022	11	17	14.2	16.5	62	615.3991208	0	2.6	76.5	417.9
2022	11	18	13	14.3	68	479.2866889	0	1.8	0	417.9
2022	11	19	12	13.1	71	406.7435232	0	1.6	0	417.9
2022	11	20	11.4	12.3	74	350.4872725	0	1.3	0	417.9
2022	11	21	14.3	15.5	89	179.2993335	0	1.4	0.4	417.9
2022	11	22	13	14.3	95	74.88854514	0	3	0	417.9
2022	11	23	12.5	14.2	98	28.9896225	0.2	2	0.4	417.9
2022	11	24	12.4	14.1	98	28.79977899	0	1.6	0	417.9
2022	12	1	9.7	10.5	81	228.6638318	0	1.3	0	417.9
2022	12	2	10.1	11.1	77	284.3295702	0	1.9	0.4	417.9
2022	12	3	9.9	10.3	73	329.3347145	0	1.6	0.1	417.9
2022	12	4	10	10.7	72	343.8295334	0	2.1	0	417.9
2022	12	5	10	10.9	71	356.1091596	0	1.6	0.1	417.9
2022	12	6	10	11.1	69	380.668412	0	1.3	0	417.9
2022	12	7	9.8	10.8	70	363.480608	0	1.6	17.5	417.9
2022	12	8	10	11.2	72	343.8295334	0	1.1	118.8	417.9
2022	12	9	10.9	13.2	70	391.2041258	0	1.4	200.2	417.9
2022	12	10	11.4	14.2	65	471.8097899	0	0.7	188.3	417.9
2022	12	11	11.7	14.6	66	467.5198649	0	0.6	223.4	417.9
2022	12	12	12.7	17.5	63	543.3932635	0	1.5	498.1	417.9
2022	12	13	13.4	18.3	60	614.9655173	0	1.1	372.3	417.9
2022	12	14	13.6	17.3	61	607.455553	0	0.7	225.9	417.9
2022	12	15	13.6	17.1	62	591.8797696	0	0.4	163.9	417.9
2022	12	16	13.7	16	62	595.7440003	0	0.5	94.5	417.9
2022	12	17	13.4	15	64	553.4689656	0	0.6	13.7	417.9
2022	12	18	12.9	13.9	67	491.040502	0	1.6	0	417.9
2022	12	19	12.5	13.8	72	405.854715	0	0	0	417.9
2022	12	20	12.5	13.5	74	376.8650925	0	0.6	0	417.9
2022	12	21	10.9	11.8	76	312.9633006	0	1.6	0	417.9
2022	12	22	10.7	11.4	77	295.9559243	0	1.2	0.1	417.9
2022	12	23	10.5	11	77	292.034885	0	1.9	0	417.9
2022	12	24	10.2	10.8	78	273.7937742	0	1.3	0	417.9
2022	13	1	12.9	13.4	74	386.8803955	0	0.8	0	417.9
2022	13	2	12.8	13.2	73	399.1377938	0	1.1	0	417.9
2022	13	3	12.7	13.2	75	367.1576105	0	0.9	0	417.9
2022	13	4	12.7	13	73	396.5302193	0	1.3	0	417.9
2022	13	5	12.6	12.7	69	452.2987416	0	1.5	0	417.9
2022	13	6	12.5	12.9	72	405.854715	0	0.3	0	417.9
2022	13	7	12.5	12.7	71	420.3495262	0	1	4.2	417.9
2022	13	8	12.7	12.9	67	484.6480458	0	1.1	48.8	417.9
2022	13	9	13.1	13.9	66	512.5828252	0	1.5	89.3	417.9
2022	13	10	13.5	14.4	64	557.0882074	0	2.4	131.6	417.9
2022	13	11	13.7	15.7	64	564.3890529	0	1	458.8	417.9
2022	13	12	14.7	19	59	685.8014269	0	2.3	586.1	417.9
2022	13	13	15.5	19.3	60	704.4091592	0	1.9	420.4	417.9
2022	13	14	16	21.1	55	818.2290062	0	1.7	474.5	417.9
2022	13	15	15.8	19.2	57	771.9309611	0	1.9	246.1	417.9
2022	13	16	15.6	18	57	762.1094128	0	1.5	133.4	417.9
2022	13	17	15	16.1	61	665.0850305	0	1.1	34.6	417.9
2022	13	18	14.7	14.9	62	635.6208347	0	0.6	0	417.9
2022	13	19	14.2	14.6	66	550.6202659	0	0	0	417.9
2022	13	20	14	14.3	69	495.5675064	0	0.3	0.1	417.9
2022	13	21	12.4	13.4	78	316.7975689	0	0.8	0	417.9
2022	13	22	12.5	13.5	77	333.3806587	0	0.5	0	417.9
2022	13	23	12.9	13.6	68	476.1604867	0	0	0	417.9
2022	13	24	12.8	13.4	75	369.5720313	0	0.8	0	417.9
2022	14	1	13.5	13.3	62	588.0375523	0	0.9	0	417.9
2022	14	2	13.2	13.3	66	515.9427657	0	0.2	0	417.9
2022	14	3	13.1	13.1	65	527.6587907	0	0.8	0.2	417.9
2022	14	4	12.7	13	68	469.9617414	0	0.5	0	417.9
2022	14	5	12.5	13.1	70	434.8443374	0	0.1	0	417.9
2022	14	6	12.5	13	72	405.854715	0	0.7	0.7	417.9
2022	14	7	12.5	13	73	391.3599037	0	0.4	7.1	417.9
2022	14	8	12.6	13.1	73	393.9376137	0	0.8	44	417.9
2022	14	9	13.1	14.2	68	482.4308943	0	0.2	137.6	417.9
2022	14	10	13.9	15.4	68	508.2433103	0	0	251.5	417.9
2022	14	11	15.1	18.8	57	738.0332553	0	0	198.2	417.9
2022	14	12	15.1	17.6	59	703.7061272	0	0	127.7	417.9
2022	14	13	14.7	16.3	57	719.2551551	0	0.1	175.2	417.9
2022	14	14	14.9	16.5	62	643.8712544	0	0.1	182.4	417.9
2022	14	15	14.8	16.4	57	723.9099571	0	0.4	123.4	417.9
2022	14	16	14.8	16.2	64	606.0641501	0	0	67.9	417.9
2022	14	17	14.2	15.1	64	583.0096934	0	0.5	19.3	417.9
2022	14	18	13.8	14.5	71	457.6126367	0	0.3	0.5	417.9
2022	14	19	13.4	14.3	79	322.8568966	0	0.4	0	417.9
2022	14	20	13.5	14	75	386.8668107	0	1	0	417.9
2022	14	21	14.5	14	65	577.9267044	0	1.5	0.8	417.9
2022	14	22	14.4	13.8	61	639.8248113	0	2	0	417.9
2022	14	23	13.9	13.5	62	603.538931	0	1.2	0.5	417.9
2022	14	24	13.6	13.2	65	545.1524194	0	1.6	0.4	417.9
2022	15	1	13.1	13.8	78	331.6712398	0	0.3	0.7	417.9
2022	15	2	12.9	13.7	80	297.6003042	0	0.7	0	417.9
2022	15	3	12.8	13.5	79	310.4405063	0	0.8	0.9	417.9
2022	15	4	12.8	13.5	77	340.0062688	0	0.3	0	417.9
2022	15	5	12.9	13.5	78	327.3603346	0	0.7	0.7	417.9
2022	15	6	12.8	13.7	81	280.8747438	0	0	0.1	417.9
2022	15	7	12.9	13.5	82	267.8402738	0	0.7	4.3	417.9
2022	15	8	13.1	14	83	256.2914126	0	0	33.3	417.9
2022	15	9	13.5	14.3	80	309.4934486	0	0.1	77.9	417.9
2022	15	10	14.2	15.2	80	323.8942741	0	0.1	123.6	417.9
2022	15	11	14.6	16.3	78	365.6229238	0	0.2	170.3	417.9
2022	15	12	15.1	16.9	78	377.5984097	0	0.4	231.1	417.9
2022	15	13	15.9	18.1	75	451.6762823	0	0.2	283.5	417.9
2022	15	14	17.1	20.9	74	507.0112484	0	0.2	438.8	417.9
2022	15	15	18.4	22.4	70	634.9424419	0	0.2	455.5	417.9
2022	15	16	18.5	22	70	638.933191	0	0.2	257.5	417.9
2022	15	17	18.2	20.1	72	585.2245843	0	0.1	64.4	417.9
2022	15	18	16.2	16.5	80	368.3290261	0	0.3	0	417.9
2022	15	19	15.9	16.5	80	361.3410258	0	0	0.4	417.9
2022	15	20	15.5	16.2	84	281.7636637	0	0.1	0	417.9
2022	15	21	13.4	14.1	76	368.9793104	0	0	0.4	417.9
2022	15	22	13.4	14	68	491.9724139	0	0.2	0.1	417.9
2022	15	23	13.4	13.8	71	445.8500001	0	0.2	0	417.9
2022	15	24	13.4	13.8	73	415.1017242	0	1.1	0.5	417.9
2022	16	1	14.8	15	89	185.1862681	0	0	0	417.9
2022	16	2	14.5	14.9	90	165.1219156	0	0.4	0.9	417.9
2022	16	3	14	14.6	94	95.91629157	0	0	0	417.9
2022	16	4	14	14.6	93	111.9023402	0	0	0.3	417.9
2022	16	5	13.8	14.2	93	110.4582227	0	0	0	417.9
2022	16	6	13.3	13.5	97	45.82253139	0	0.2	0.3	417.9
2022	16	7	13.8	14.5	97	47.33923828	0	0	13.6	417.9
2022	16	8	14.4	15	95	82.02882196	0	0.9	129	417.9
2022	16	9	16.2	17	87	239.413867	0	0.6	329.5	417.9
2022	16	10	18	18.8	80	412.7978405	0	0.6	712.5	417.9
2022	16	11	20.1	21.7	76	564.670831	0	0.1	447.8	417.9
2022	16	12	20.8	22.9	74	638.7202448	0	1.1	192.7	417.9
2022	16	13	19.8	20.7	78	508.0874149	0	1.1	298	417.9
2022	16	14	21.1	23	73	675.627144	0	1.1	368.6	417.9
2022	16	15	21.2	23	73	679.7850729	0	1.3	328.4	417.9
2022	16	16	20.5	22.3	75	602.9103201	0	0.9	185.8	417.9
2022	16	17	19.7	20.1	76	550.8500091	0	0.7	44.5	417.9
2022	16	18	18.8	18.7	81	412.3237199	0	0.1	0.5	417.9
2022	16	19	18.3	17.8	81	399.6165661	0	0.2	0.4	417.9
2022	16	20	18.1	17.5	82	373.8604714	0	0.7	0	417.9
2022	16	21	15.2	15.7	86	241.8400407	0	0.8	0	417.9
2022	16	22	15.4	15.7	84	279.9618891	0	0	0.1	417.9
2022	16	23	14.6	15.1	88	199.4306857	0	0.5	0	417.9
2022	16	24	14.7	14.9	89	183.9955048	0	0.1	0	417.9
2022	17	1	15.4	15.3	87	227.4690349	0	0.4	0	417.9
2022	17	2	14.6	14.6	89	182.8114619	0	0.7	0.1	417.9
2022	17	3	14.1	14.3	91	144.8107595	0	0.4	0	417.9
2022	17	4	13.9	14.4	90	158.8260345	0	0.2	0	417.9
2022	17	5	14	14.7	89	175.8465345	0	0.1	0	417.9
2022	17	6	13.9	14.2	88	190.5912414	0	0.5	0	417.9
2022	17	7	13.9	14.4	88	190.5912414	0	0	11.2	417.9
2022	17	8	14.2	15	87	210.5312782	0	0.5	91.4	417.9
2022	17	9	14.8	15.9	82	303.032075	0	1.5	218.7	417.9
2022	17	10	16	18.1	77	418.2059365	0	2.2	526.7	417.9
2022	17	11	16.9	21.4	75	481.3709006	0	1.2	369.1	417.9
